Name,Color,L,W,T,P/S
bk1,7DA7B0,336,133,10,0
bk10a,7DA7B0,378,119,10,0
bk10b,7DA7B0,161,140,10,0
bk10c,7DA7B0,119,49,10,0
bk11,7DA7B0,175,119,10,0
bk12,7DA7B0,140,406,10,0
bk13,7DA7B0,140,497,10,0
bk14a,7DA7B0,196,119,10,0
bk14b,7DA7B0,294,119,10,0
bk14c,7DA7B0,161,119,10,0
bk15a,7DA7B0,119,266,10,0
bk15b,7DA7B0,119,336,10,0
bk16,7DA7B0,119,126,10,0
bk17a,7DA7B0,371,182,10,0
bk17b,7DA7B0,182,203,10,0
bk18,7DA7B0,182,203,10,0
bk19,7DA7B0,84,119,10,0
bk2,7DA7B0,133,294,10,0
bk20,7DA7B0,182,350,10,0
bk21,7DA7B0,315,140,10,0
bk3,7DA7B0,133,315,10,0
bk4,7DA7B0,560,133,10,0
bk5a,7DA7B0,133,140,10,0
bk5b,7DA7B0,175,133,10,0
bk5c,7DA7B0,133,231,10,0
bk6,7DA7B0,133,315,10,0
bk7,7DA7B0,182,98,10,0
bk8a,7DA7B0,210,210,10,0
bk8b,7DA7B0,126,378,10,0
bk9a,7DA7B0,182,119,10,0
bk9b,7DA7B0,119,119,10,0
bk9c,7DA7B0,357,119,10,0
bk9d,7DA7B0,119,84,10,0
