Name,Color,L,W,T,P/S
sb0,7DA7B0,96,94,10,0
sb1,7DA7B0,26,78,10,0
sb2,7DA7B0,26,76,10,0
sb3,7DA7B0,96,25,10,0
sb4,7DA7B0,75,92,10,0
sb5,7DA7B0,64,58,10,0
sb6,7DA7B0,36,31,10,0
sb7,7DA7B0,45,91,10,0
sb8,7DA7B0,38,80,10,0
sb9,7DA7B0,43,64,10,0
sb10,7DA7B0,26,51,10,0
sb11,7DA7B0,43,80,10,0
sb12,7DA7B0,39,58,10,0
sb13,7DA7B0,92,50,10,0
sb14,7DA7B0,27,28,10,0
sb15,7DA7B0,96,72,10,0
sb16,7DA7B0,42,43,10,0
sb17,7DA7B0,61,94,10,0
sb18,7DA7B0,70,72,10,0
sb19,7DA7B0,30,86,10,0
sb20,7DA7B0,87,49,10,0
sb21,7DA7B0,94,76,10,0
sb22,7DA7B0,74,80,10,0
sb23,7DA7B0,64,80,10,0
sb24,7DA7B0,66,27,10,0
sb25,7DA7B0,82,86,10,0
sb26,7DA7B0,36,49,10,0
sb27,7DA7B0,93,75,10,0
sb28,7DA7B0,87,44,10,0
sb29,7DA7B0,42,88,10,0
sb30,7DA7B0,93,56,10,0
sb31,7DA7B0,42,81,10,0
sb32,7DA7B0,44,38,10,0
sb33,7DA7B0,63,76,10,0
sb34,7DA7B0,67,32,10,0
sb35,7DA7B0,94,88,10,0
sb36,7DA7B0,63,82,10,0
sb37,7DA7B0,73,43,10,0
sb38,7DA7B0,74,87,10,0
sb39,7DA7B0,92,62,10,0
sb40,7DA7B0,26,36,10,0
sb41,7DA7B0,26,68,10,0
sb42,7DA7B0,66,85,10,0
sb43,7DA7B0,85,42,10,0
sb44,7DA7B0,85,74,10,0
sb45,7DA7B0,30,28,10,0
sb46,7DA7B0,56,30,10,0
sb47,7DA7B0,81,51,10,0
sb48,7DA7B0,82,63,10,0
sb49,7DA7B0,42,86,10,0
